LineNo,Name,Designator,Value,Quantity,Manufacturer,ManufacturerPartNumber
1,A768KE226M1JLAE054,C1,22µF,1,KEMET,A768KE226M1JLAE054
2,EEU-FC1H681L,C2,680µF,1,Panasonic,EEUFC1H681L
3,50SVPF68M,C3,68µF,1,Panasonic,50SVPF68M
4,CAP 1206 10UF 50V 10% X5R,"C4, C5",10µF,2,Samsung Electro-Mechanics,CL31A106KBHNNNE
5,CAP 1206 0.1UF 100V 5% C0G,C6,100nF,1,TDK,C3216C0G2A104J160AC
6,CAP 0805 0.1UF 50V 10% X7R,"C7, C9, C11",100nF,3,Yageo Group,CC0805KRX7R9BB104
7,CAP 1206 1.0UF 50V 10% X7R,"C8, C10",1µF,2,Samsung Electro-Mechanics,CL31B105KBHNNNE
8,800B271JT200XT,"C13, C22",270pF,2,KYOCERA AVX,800B271JT200XT
9,800B471JT200XT1K,C17,470pF,1,KYOCERA AVX,800B471JT200XT1K
10,JR500HV,C18,8pF-50pF,1,Voltronics,JR500HV
11,800B5R6CT500XT,C23,5.6pF,1,KYOCERA AVX,800B5R6CT500XT
12,LSM0805452V,"D1, D2, D3",,3,VCC,LSM0805452V
13,RB058LAM100TFTR,"D4, D5",,2,ROHM,RB058LAM100TFTR
14,572-0500,J1,,1,Deltron,572-0500
15,BNC THT Vertical,"J2, J11, J13",50?,3,Amphenol RF,B6251C1-NT3G-50
16,571-0100,J3,,1,Deltron,571-0100
17,031-6575,J5,,1,Amphenol RF,031-6575
18,CON-SMA-EDGE-S,J6,,1,RF Solutions,CON-SMA-EDGE-S
19,135-3711-201,"J8, J9",,2,Cinch Connectivity Solutions,135-3711-201
20,MHDR 1X6,J10,,1,Adam Tech,PH1-06-UA
21,RF2-04A-T-00-50-G,J12,,1,Adam Tech,RF2-04A-T-00-50-G
22,RM6 Custom Inductor,"L1, L4","2.754µH, 2.7857µH",2,EPCOS,B65808N1006D001
23,"Custom Inductor, T106-0 Core","L2, L3","564.97nH, 566.72nH",2,Micrometals,T106-0
24,SMTRAM3-7-5ET,MP1,,1,PennEngineering,SMTRAM3-7-5ET
25,IGB110S101XTMA1,"Q1, Q2",,2,Infineon,IGB110S101XTMA1
26,RES 0805 150 1%,"R1, R6",150?,2,Stackpole Electronics,RMCF0805FT150R
27,RES 0805 1K 1%,"R2, R3, R4",1k?,3,Stackpole Electronics,RMCF0805FT1K00
28,RES 0805 100K 1%,R5,100k?,1,TE Connectivity,CRG0805F100K
29,RES 0603 0 5%,"R7, R9",0,2,Stackpole Electronics,RMCF0603ZT0R00
30,RES 0603 1.5 1%,"R8, R10",1.5,2,Stackpole Electronics,RMCF0603FT1R50
31,EG1218,SW1,,1,E-Switch,EG1218
32,5280,"TP1, TP2",,2,Keystone,5280
33,5281,"TP3, TP4, TP5",,3,Keystone,5281
34,5117,"TP7, TP10",,2,Keystone,5117
35,5002,"TP8, TP12",,2,Keystone,5002
36,SN74LVC1G04DBVR,U1,,1,Texas Instruments,SN74LVC1G04DBVR
37,SN74LVC1G34DBVR,"U2, U4",,2,Texas Instruments,SN74LVC1G34DBVR
38,LM5114AMF/NOPB,"U3, U5",310m?,2,Texas Instruments,LM5114AMF/NOPB
